post_id,day,text_preview,expected_detail_tag,expected_sentiment,notes
L8LYYa4vh,2022-01-01,金价,noise,,
4720964736386523,2022-01-01,"【美大量印鈔全球央行增持黃金 恒指2021年跌幅ATMX佔七成】 2022年，新冠疫情+通脹+美聯儲加息三者並存，今年仍然是艱苦的一年。2021年美印鈔過多,全球央行增持黃金,對美元軸心貨幣擔憂。金價升至一個月高位。恒指2021年跌4000",news.positive,,
4720922944606277,2022-01-01, 外汇黄金超话 周五现货黄金上涨，连续第三周走高，盘中一度刷新11月22日以来高点至1830，金价全年下跌3.65%，创下2015年以来最大年度跌幅。 每天不同表现，配合行情，总体还是可观的。  财经超话  外汇超话  EA黄金超话,technical_chart.up,,
L8Mdi8pB8,2022-01-01,金价鲁,noise,,
4720949663106956,2022-01-01,做好充分准备应对消费低谷，未雨绸缪好过盲目乐观，不要心存侥幸 知情达理柳叶Dg :  现在法拍房越来越多都断贷了 知情达理柳叶Dg :  有钱你就多买几套 如果是按揭你小心断贷 ￼ 星火燃尽 外债危机最先爆的就是房子，买黄金才对，不是买房。,news.negative,,
L8NfI1OI6,2022-01-01,金价憨波卡机！,meme.positive,,
4720931111440115,2022-01-01,发表了博文《慧欣女神：1.1周评黄金1834空看1828及1820即可》黄金：周线从周K线来看，金价下方支撑稳固，近几周多头得以止住8月以来的跌势，并有望迎接一波反弹行情。上方初步阻力在50%回撤位1 O 慧欣女神：1.1周评黄金1834空,technical_chart.up,,
4720939499263294,2022-01-01,#D社# 金价无语，小老D真不愧是西八区狗崽子洞的🤬🤬🤬 ​,meme.negative,,
4720935419251890,2022-01-01,断断续续上班也一年了，一直计划着过年给妈妈买个金首饰，因为积蓄没有多少寻思买个耳钉之类的小一些的，等以后赚钱了再买大件儿，今天元旦金店搞活动，金价399给妈妈买了一个小耳钉，妈妈很喜欢。 ​​​,gold_bullion.jewelry,,
4720949011678482,2022-01-01,當時候看遊戲實況最噁心醫生沒有之一..... 雖然不排斥獵奇的東西但還是要看人 考哥金價亞美蝶（?? ​,meme.neutral,,
4720950475755724,2022-01-01,【黄金最新行情走势解析】 现货黄金连续第三周走高，收涨1.53%至1829.42美元/盎司，创11月22日以来新高至1830.33美元/盎司，因美元指数连续第二周收低，刷新当月低点至95.568。新冠奥密克戎变种病例激增引发投资者焦虑。但金,news.positive,,
4720944872686767,2022-01-01,"奥密克戎变异毒株引发避险情绪，但黄金并没有受益。过去半个月以来，不管消息面利好还是利空，金价多数都是跌,这可能暗示市场主力正在不断地部署黄金的空头。黄金大跌或归咎于美联储以及其在加息问题上越来越鹰派的基调。交易者开始定价更为激进的加息预期。",news.negative,,
L8J6hyCuh,2022-01-01,金价耶啵😫,noise,,
news_positive_extra1,2022-01-02,央行连续增持黄金储备，市场对金价前景看好。,news.positive,positive,虚构示例
news_negative_extra1,2022-01-02,美联储放鹰言论拖累金价，短线下行压力加剧。,news.negative,negative,虚构示例
tech_down_example,2022-01-02,日线收出长阴，跌破关键支撑，技术面偏空。,technical_chart.down,negative,虚构示例
tech_sideways_example,2022-01-02,金价陷入窄幅震荡区间，等待方向突破。,technical_chart.sideways,neutral,虚构示例
tech_uncertain_example,2022-01-02,多空杂乱，指标信号相互矛盾，趋势暂不明朗。,technical_chart.uncertain,neutral,虚构示例
bullion_bar_example,2022-01-02,晒晒今日到手的9999金条，好沉！,gold_bullion.bar,positive,虚构示例
bullion_coin_example,2022-01-02,纪念金币真精致，收藏价值满满。,gold_bullion.coin,positive,虚构示例
bullion_packaging_example,2022-01-02,品牌金店的礼盒包装居然还送定制贺卡。,gold_bullion.packaging,positive,虚构示例
meme_positive_extra,2022-01-02,哈哈哈，暴富小表情，希望金价继续涨！,meme.positive,positive,虚构示例
meme_negative_extra,2022-01-02,心态崩了，亏到想砸电脑的梗图。,meme.negative,negative,虚构示例
meme_neutral_extra,2022-01-02,淡定持币，等金价回调的表情包。,meme.neutral,neutral,虚构示例
noise_extra_photo,2022-01-02,今天的晚霞真漂亮，和金价无关。,noise,neutral,虚构示例
news_neutral_extra,2022-01-02,机构认为金价后市呈中性态势，需关注数据指引。,news.neutral,neutral,虚构示例
